City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Guerrero Negro,MX,2021-04-09 20:37:30,27.9769,-114.0611,68.94,55,95,20.78
150,Cayenne,GF,2021-04-09 20:41:45,4.9333,-52.3333,86.0,74,40,6.91
151,Naron,ES,2021-04-09 20:40:18,43.5167,-8.1528,57.99,100,75,1.14
152,Chapais,CA,2021-04-09 20:41:46,49.7834,-74.8492,62.6,48,1,12.66
153,Urumqi,CN,2021-04-09 20:41:46,43.801,87.6005,57.2,38,0,6.71
154,Guangyuan,CN,2021-04-09 20:39:09,32.442,105.823,57.0,98,100,1.1
155,Lompoc,US,2021-04-09 20:41:46,34.6391,-120.4579,64.0,55,4,16.11
156,Chokurdakh,RU,2021-04-09 20:41:46,70.6333,147.9167,-6.9,92,100,12.62
157,Choix,MX,2021-04-09 20:41:47,26.7092,-108.3219,96.37,12,2,10.36
158,Nome,US,2021-04-09 20:41:47,64.5011,-165.4064,-2.0,55,1,6.91
159,Faanui,PF,2021-04-09 20:40:15,-16.4833,-151.75,81.82,70,100,8.52
160,Kahului,US,2021-04-09 20:41:47,20.8947,-156.47,78.8,57,20,24.16
161,Airai,TL,2021-04-09 20:41:47,-8.9266,125.4092,57.29,77,93,1.5
162,Qaqortoq,GL,2021-04-09 20:41:48,60.7167,-46.0333,42.8,52,75,5.75
163,Hasaki,JP,2021-04-09 20:39:05,35.7333,140.8333,44.6,61,75,8.05
164,Clyde River,CA,2021-04-09 20:41:48,70.4692,-68.5914,14.0,73,20,12.66
165,Ilhabela,BR,2021-04-09 20:41:48,-23.7781,-45.3581,74.59,80,14,7.49
166,Tateyama,JP,2021-04-09 20:41:48,34.9833,139.8667,46.99,36,100,13.78
167,Vrangel,RU,2021-04-09 20:41:49,42.7297,133.0839,35.2,61,1,5.66
168,Marsa Matruh,EG,2021-04-09 20:37:11,31.3525,27.2453,57.2,47,75,18.41
169,Grand-Santi,GF,2021-04-09 20:41:49,4.25,-54.3833,75.36,90,100,1.5
170,Meulaboh,ID,2021-04-09 20:41:49,4.1363,96.1285,78.57,86,100,4.34
171,Nyurba,RU,2021-04-09 20:41:49,63.2842,118.3319,7.0,91,100,8.59
172,Antofagasta,CL,2021-04-09 20:41:50,-23.65,-70.4,70.0,68,40,14.97
173,Noumea,NC,2021-04-09 20:41:50,-22.2763,166.4572,79.0,88,90,1.14
174,Saldanha,ZA,2021-04-09 20:41:50,-33.0117,17.9442,62.6,82,83,6.91
175,Dicabisagan,PH,2021-04-09 20:41:50,17.0818,122.4157,73.72,85,74,6.76
176,Tabou,CI,2021-04-09 20:41:51,4.423,-7.3528,80.08,85,16,5.5
177,Goma,CD,2021-04-09 20:41:51,-1.6792,29.2228,63.66,88,100,2.26
178,Sao Sebastiao,BR,2021-04-09 20:41:51,-23.76,-45.4097,73.8,83,21,6.58
179,Faya,SA,2021-04-09 20:41:51,18.3851,42.4509,68.0,55,0,1.88
180,Sao Filipe,CV,2021-04-09 20:38:55,14.8961,-24.4956,76.84,57,0,11.16
181,Adiake,CI,2021-04-09 20:41:52,5.2863,-3.304,75.2,94,40,2.3
182,Bubaque,GW,2021-04-09 20:41:52,11.2833,-15.8333,76.95,75,7,17.69
183,Freeport,US,2021-04-09 20:40:50,40.6576,-73.5832,53.01,71,1,8.05
184,Sept-Iles,CA,2021-04-09 20:41:52,50.2001,-66.3821,50.0,53,75,9.22
185,Ostrovnoy,RU,2021-04-09 20:41:52,68.0531,39.5131,27.7,83,23,21.5
186,Pidhorodne,UA,2021-04-09 20:41:53,48.5753,35.1068,41.0,52,0,8.95
187,Georgetown,MY,2021-04-09 20:37:00,5.4112,100.3354,80.6,89,20,3.44
188,Upata,VE,2021-04-09 20:41:53,8.0086,-62.3989,82.56,61,99,2.86
189,Soyo,AO,2021-04-09 20:41:53,-6.1349,12.3689,80.69,83,100,4.03
190,Butaritari,KI,2021-04-09 20:41:53,3.0707,172.7902,82.2,78,100,16.98
191,Mar Del Plata,AR,2021-04-09 20:37:11,-38.0023,-57.5575,66.2,77,20,8.05
192,Hervey Bay,AU,2021-04-09 20:40:45,-25.2986,152.8535,68.0,91,1,4.0
193,Larsnes,NO,2021-04-09 20:41:54,62.2028,5.5773,36.0,82,100,11.01
194,Micheweni,TZ,2021-04-09 20:41:54,-4.9667,39.8333,80.06,82,26,10.96
195,Te Anau,NZ,2021-04-09 20:40:43,-45.4167,167.7167,49.48,93,100,1.57
196,Constitucion,CL,2021-04-09 20:41:54,-35.3333,-72.4167,60.03,68,100,15.84
197,Burnie,AU,2021-04-09 20:41:54,-41.0667,145.9167,50.0,98,78,7.0
198,Dungarvan,IE,2021-04-09 20:41:55,52.0881,-7.6253,42.01,79,100,3.0
199,Oum Hadjer,TD,2021-04-09 20:41:55,13.2954,19.6966,88.32,8,3,10.76
200,Yabrud,SY,2021-04-09 20:41:55,33.9674,36.6574,53.6,54,0,19.57
201,Kaitangata,NZ,2021-04-09 20:41:55,-46.2817,169.8464,51.26,85,82,1.19
202,Budogoshch,RU,2021-04-09 20:41:56,59.2816,32.4707,40.24,67,100,17.07
203,Mwinilunga,ZM,2021-04-09 20:41:56,-11.7358,24.4293,62.38,73,89,4.47
204,Longyearbyen,SJ,2021-04-09 20:39:05,78.2186,15.6401,32.0,69,75,12.66
205,Embu,BR,2021-04-09 20:38:39,-23.6489,-46.8522,75.2,57,0,11.5
206,Chuy,UY,2021-04-09 20:41:56,-33.6971,-53.4616,69.58,88,100,2.26
207,Okha,RU,2021-04-09 20:41:46,53.5739,142.9478,17.28,93,70,5.64
208,Richards Bay,ZA,2021-04-09 20:41:56,-28.783,32.0377,68.0,90,1,3.15
209,Pevek,RU,2021-04-09 20:41:57,69.7008,170.3133,-16.31,92,41,1.63
210,Abu Dhabi,AE,2021-04-09 20:37:13,24.4667,54.3667,75.2,94,0,4.61
211,Ainazi,LV,2021-04-09 20:41:57,57.8636,24.3578,37.69,93,100,23.33
212,San Patricio,US,2021-04-09 20:41:57,28.017,-97.5169,90.0,66,75,17.27
213,Botou,CN,2021-04-09 20:41:57,38.0667,116.5667,56.25,52,100,5.68
214,Moree,AU,2021-04-09 20:41:58,-29.4667,149.85,55.4,88,58,4.61
215,Sao Miguel Do Araguaia,BR,2021-04-09 20:39:13,-13.275,-50.1628,74.01,84,100,3.51
216,Cherskiy,RU,2021-04-09 20:41:58,68.75,161.3,-0.6,74,100,0.51
217,Roald,NO,2021-04-09 20:41:58,62.5833,6.1333,34.0,93,90,16.11
218,Saskylakh,RU,2021-04-09 20:37:52,71.9167,114.0833,-24.65,100,100,3.09
219,Gornopravdinsk,RU,2021-04-09 20:41:58,60.05,69.9,30.88,98,93,4.14
220,Hualmay,PE,2021-04-09 20:41:59,-11.0964,-77.6139,72.37,78,89,7.07
221,Porto Novo,BJ,2021-04-09 20:41:59,6.4965,2.6036,84.2,74,20,8.05
222,Iquique,CL,2021-04-09 20:39:18,-20.2208,-70.1431,69.8,56,0,13.8
223,Praia Da Vitoria,PT,2021-04-09 20:41:59,38.7333,-27.0667,59.0,94,75,7.4
224,Santa Cruz,BO,2021-04-09 20:41:59,-17.8,-63.1667,86.0,66,75,13.8
225,Mahebourg,MU,2021-04-09 20:42:00,-20.4081,57.7,73.4,94,75,3.44
226,Santa Elena,EC,2021-04-09 20:42:00,-2.2333,-80.85,84.2,70,0,11.5
227,Linjiang,CN,2021-04-09 20:42:00,41.8069,126.9078,34.03,50,64,1.79
228,Dunedin,NZ,2021-04-09 20:42:00,-45.8742,170.5036,53.01,92,91,2.01
229,Pisco,PE,2021-04-09 20:42:01,-13.7,-76.2167,73.99,64,75,19.57
230,College,US,2021-04-09 20:38:49,64.8569,-147.8028,-0.99,46,75,3.44
231,Canto Do Buriti,BR,2021-04-09 20:42:01,-8.11,-42.9444,86.41,40,99,5.12
